OTC_ID	UNII	OTC_Ingredient	OTC_Monograph	OTC_Status	OTC_Ref_Text	OTC_URL
1	113C650IR1	1,1,1-trichloroethane	certain drugs	Previously Marketed	21 CFR 310.502(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-502.xml
2	C6V6S92N3C	zirconium	certain drugs	Previously Marketed	21 CFR 310.502(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-502.xml
3	CK833KGX7E	amphetamine	certain drugs	Previously Marketed	21 CFR 310.502(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-502.xml
4	TZ47U051FI	dextroamphetamine	certain drugs	Previously Marketed	21 CFR 310.502(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-502.xml
5	R87US8P740	levamfetamine	certain drugs	Previously Marketed	21 CFR 310.502(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-502.xml
6		camphorated oil	certain drugs	Previously Marketed	21 CFR 310.502(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-502.xml
7	6MCE3VTF0O	tribromsalan	certain drugs	Previously Marketed	21 CFR 310.502(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-502.xml
8	N9900K2RBT	dibromsalan	certain drugs	Previously Marketed	21 CFR 310.502(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-502.xml
9	8Q21Y09R21	metabromsalan	certain drugs	Previously Marketed	21 CFR 310.502(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-502.xml
10	4H8SC2479J	3,3_,4,5_-tetrachlorosalicylanilide	certain drugs	Previously Marketed	21 CFR 310.502(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-502.xml
11	7V31YC746X	chloroform	certain drugs	Previously Marketed	21 CFR 310.502(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-502.xml
12	3G0H8C9362	cobalt	certain drugs	Previously Marketed	21 CFR 310.502(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-502.xml
13	8C7CJ279RV	sweet spirits of nitre	certain drugs	Previously Marketed	21 CFR 310.502(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-502.xml
14	9XA7X17UQC	thorium dioxide	certain drugs	Previously Marketed	21 CFR 310.502(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-502.xml
15	WD06X94M2D	vinyl chloride	certain drugs	Previously Marketed	21 CFR 310.502(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-502.xml
16	LC1V549NOM	sodium bromide	daytime sedative	Previously Marketed	21 CFR 310.519(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-519.xml
17	451IFR0GXB	scopolamine hydrobromide	daytime sedative	Previously Marketed	21 CFR 310.519(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-519.xml
18	TL2TJE8QTX	aminobenzoic acid	hair loss prevention	Previously Marketed	21 CFR 310.527(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-527.xml
19	PQ6CK8PD0R	ascorbic acid	hair loss prevention	Previously Marketed	21 CFR 310.527(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-527.xml
20	8SKN0B0MIM	benzoic acid	hair loss prevention	Previously Marketed	21 CFR 310.527(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-527.xml
21	1O6C93RI7Z	dexpanthenol	hair loss prevention	Previously Marketed	21 CFR 310.527(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-527.xml
22	4TI98Z838E	estradiol	hair loss prevention	Previously Marketed	21 CFR 310.527(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-527.xml
23	724GKU717M	jojoba oil	hair loss prevention	Previously Marketed	21 CFR 310.527(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-527.xml
24	7EV65EAW6H	lanolin	hair loss prevention	Previously Marketed	21 CFR 310.527(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-527.xml
25	7T1F30V5YH	polysorbate 20	hair loss prevention	Previously Marketed	21 CFR 310.527(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-527.xml
26	CAL22UVI4M	polysorbate 60	hair loss prevention	Previously Marketed	21 CFR 310.527(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-527.xml
27	21240MF57M	sulfanilamide	hair loss prevention	Previously Marketed	21 CFR 310.527(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-527.xml
28	70FD1KFU70	sulfur	hair loss prevention	Previously Marketed	21 CFR 310.527(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-527.xml
29	5NF5D4OPCI	tetracaine hydrochloride	hair loss prevention	Previously Marketed	21 CFR 310.527(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-527.xml
30	8W8T17847W	urea	hair loss prevention	Previously Marketed	21 CFR 310.527(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-527.xml
31	14C97E680P	wheat germ oil	hair loss prevention	Previously Marketed	21 CFR 310.527(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-527.xml
32	Q3JEK5DO4K	anise	aphrodisiac	Previously Marketed	21 CFR 310.528(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-528.xml
33	IGL471WQ8P	cantharides	aphrodisiac	Previously Marketed	21 CFR 310.528(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-528.xml
34		don qual	aphrodisiac	Previously Marketed	21 CFR 310.528(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-528.xml
35		fennel	aphrodisiac	Previously Marketed	21 CFR 310.528(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-528.xml
36		ginseng	aphrodisiac	Previously Marketed	21 CFR 310.528(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-528.xml
37	ZW3Z11D0JV	golden seal	aphrodisiac	Previously Marketed	21 CFR 310.528(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-528.xml
38	6810070TYD	gotu kola	aphrodisiac	Previously Marketed	21 CFR 310.528(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-528.xml
39	CUQ3A77YXI	Korean ginseng	aphrodisiac	Previously Marketed	21 CFR 310.528(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-528.xml
40	61ZBX54883	licorice	aphrodisiac	Previously Marketed	21 CFR 310.528(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-528.xml
41	2MHK717D3K	mandrake	aphrodisiac	Previously Marketed	21 CFR 310.528(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-528.xml
42	V9EFU16ZIF	methyltestosterone	aphrodisiac	Previously Marketed	21 CFR 310.528(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-528.xml
43	269XH13919	nux vomica	aphrodisiac	Previously Marketed	21 CFR 310.528(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-528.xml
44		Pega Palo	aphrodisiac	Previously Marketed	21 CFR 310.528(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-528.xml
45	2H1576D5WG	sarsaparilla	aphrodisiac	Previously Marketed	21 CFR 310.528(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-528.xml
46	H9Y79VD43J	strychnine	aphrodisiac	Previously Marketed	21 CFR 310.528(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-528.xml
47	3XMK78S47O	testosterone	aphrodisiac	Previously Marketed	21 CFR 310.528(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-528.xml
48	2Y49VWD90Q	yohimbine	aphrodisiac	Previously Marketed	21 CFR 310.528(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-528.xml
49	2Y49VWD90Q	yohimbinum	aphrodisiac	Previously Marketed	21 CFR 310.528(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-528.xml
50	M572600E5P	thiamine hydrochloride	insect repellent	Previously Marketed	21 CFR 310.529(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-529.xml
51	OR5RM3Q5QL	aminacrine hydrochloride	boil treatment	Previously Marketed	21 CFR 310.531(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-531.xml
52	U3RSY48JW5	benzocaine	boil treatment	Previously Marketed	21 CFR 310.531(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-531.xml
53	H19J064BA5	bismuth subnitrate	boil treatment	Previously Marketed	21 CFR 310.531(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-531.xml
54	J2D46N657D	calomel	boil treatment	Previously Marketed	21 CFR 310.531(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-531.xml
55		camphor	boil treatment	Previously Marketed	21 CFR 310.531(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-531.xml
56	97C5T2UQ7J	cholesterol	boil treatment	Previously Marketed	21 CFR 310.531(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-531.xml
57		ergot fluid extract	boil treatment	Previously Marketed	21 CFR 310.531(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-531.xml
58	IWW5FV6NK2	hexachlorophene	boil treatment	Previously Marketed	21 CFR 310.531(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-531.xml
59		ichthammol	boil treatment	Previously Marketed	21 CFR 310.531(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-531.xml
60	9566855ULN	isobutamben	boil treatment	Previously Marketed	21 CFR 310.531(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-531.xml
61	1Q84T0P2G3	juniper tar (oil of cade)	boil treatment	Previously Marketed	21 CFR 310.531(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-531.xml
62	7EV65EAW6H	lanolin	boil treatment	Previously Marketed	21 CFR 310.531(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-531.xml
63	ML30MJ2U7I	magnesium sulfate	boil treatment	Previously Marketed	21 CFR 310.531(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-531.xml
64		menthol	boil treatment	Previously Marketed	21 CFR 310.531(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-531.xml
65	LAV5U5022Y	methyl salicylate	boil treatment	Previously Marketed	21 CFR 310.531(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-531.xml
66		oxyguinoline sulfate	boil treatment	Previously Marketed	21 CFR 310.531(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-531.xml
67		petrolatum	boil treatment	Previously Marketed	21 CFR 310.531(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-531.xml
68	339NCG44TV	phenol	boil treatment	Previously Marketed	21 CFR 310.531(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-531.xml
69	YFH4WC535J	pine tar	boil treatment	Previously Marketed	21 CFR 310.531(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-531.xml
70		rosin	boil treatment	Previously Marketed	21 CFR 310.531(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-531.xml
71		rosin cerate	boil treatment	Previously Marketed	21 CFR 310.531(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-531.xml
72	78ZX2PFG2Z	sassafras oil	boil treatment	Previously Marketed	21 CFR 310.531(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-531.xml
73	70FD1KFU70	sulfur	boil treatment	Previously Marketed	21 CFR 310.531(a)	https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-531.xml
